R_fighter;B_fighter;Winner
Ricky Simon;Ray Borg;Ricky Simon
Ben Rothwell;Ovince Saint Preux;Ben Rothwell
Gabriel Benitez;Omar Morales;Omar Morales
Anthony Smith;Glover Teixeira;Glover Teixeira
Andrei Arlovski;Philipe Lins;Andrei Arlovski
Michael Johnson;Thiago Moises;Thiago Moises
Alexander Hernandez;Drew Dober;Drew Dober
Sijara Eubanks;Sarah Moras;Sijara Eubanks
Hunter Azure;Brian Kelleher;Brian Kelleher
Chase Sherman;Ike Villanueva;Chase Sherman
Carla Esparza;Michelle Waterson;Carla Esparza
Anthony Pettis;Donald Cerrone;Anthony Pettis
Aleksei Oleinik;Fabricio Werdum;Aleksei Oleinik
Jeremy Stephens;Calvin Kattar;Calvin Kattar
Tony Ferguson;Justin Gaethje;Justin Gaethje
Francis Ngannou;Jairzinho Rozenstruik;Francis Ngannou
Henry Cejudo;Dominick Cruz;Henry Cejudo
Vicente Luque;Niko Price;Vicente Luque
Greg Hardy;Yorgan De Castro;Greg Hardy
Ryan Spann;Sam Alvey;Ryan Spann
Bryce Mitchell;Charles Rosa;Bryce Mitchell
Amanda Ribas;Randa Markos;Amanda Ribas
Jussier Formiga;Brandon Moreno;Brandon Moreno
Renato Moicano;Damir Hadzovic;Renato Moicano
Elizeu Zaleski dos Santos;Aleksei Kunchenko;Elizeu Zaleski dos Santos
Johnny Walker;Nikita Krylov;Nikita Krylov
Demian Maia;Gilbert Burns;Gilbert Burns
Kevin Lee;Charles Oliveira;Charles Oliveira
Francisco Trinaldo;John Makdessi;Francisco Trinaldo
Rani Yahya;Enrique Barzola;
Mayra Bueno Silva;Maryna Moroz;Maryna Moroz
Bruno Silva;David Dvorak;David Dvorak
Veronica Macedo;Bea Malecki;Bea Malecki
Beneil Dariush;Drakkar Klose;Beneil Dariush
Neil Magny;Li Jingliang;Neil Magny
Sean O'Malley;Jose Quinonez;Sean O'Malley
Israel Adesanya;Yoel Romero;Israel Adesanya
Zhang Weili;Joanna Jedrzejczyk;Zhang Weili
Rodolfo Vieira;Saparbeg Safarov;Rodolfo Vieira
Mark Madsen;Austin Hubbard;Mark Madsen
Giga Chikadze;Jamall Emmers;Giga Chikadze
Batgerel Danaa;Guido Cannetti;Batgerel Danaa
Gerald Meerschaert;Deron Winn;Gerald Meerschaert
Alex Oliveira;Max Griffin;Alex Oliveira
Marcin Tybura;Serghei Spivac;Marcin Tybura
Ion Cutelaba;Magomed Ankalaev;Magomed Ankalaev
Felicia Spencer;Zarah Fairn;Felicia Spencer
Grant Dawson;Darrick Minner;Grant Dawson
Brendan Allen;Tom Breese;Brendan Allen
Gabriel Silva;Kyler Phillips;Kyler Phillips
Joseph Benavidez;Deiveson Figueiredo;Deiveson Figueiredo
Megan Anderson;Norma Dumont;Megan Anderson
Jordan Griffin;TJ Brown;Jordan Griffin
